,Importance
first_road_number_317.0,0.00013832350652065293
first_road_number_323.0,0.00013780235286409576
first_road_number_1303.0,0.0001376423637434534
vehicle_leaving_carriageway_Offside - crossed central reservation,0.00013715622860433228
first_road_number_414.0,0.00013696714461836708
vehicle_location_restricted_lane_Leaving lay-by or hard shoulder,0.0001355099637297217
first_road_number_442.0,0.00013512758014505582
first_road_number_680.0,0.00013482707532884222
first_road_number_4437.0,0.0001345423488468813
first_road_number_264.0,0.00013408995449741372
first_road_number_663.0,0.00013387580153808483
first_road_number_212.0,0.00013380417747706934
carriageway_hazards_Previous accident,0.00013354707515721078
first_road_number_222.0,0.0001334645490626987
first_road_number_628.0,0.00013318085147520626
first_road_number_159.0,0.0001331767238890404
first_road_number_2199.0,0.00013309718509400194
first_road_number_5123.0,0.0001321854326986513
first_road_number_540.0,0.00013215661164815508
first_road_number_348.0,0.0001316064774813912
first_road_number_240.0,0.00013106212620915517
first_road_number_435.0,0.00013013227348385474
first_road_number_426.0,0.00012990400803341236
first_road_number_421.0,0.00012971937740015402
first_road_number_5082.0,0.00012858448501952875
first_road_number_6144.0,0.00012855022175618387
first_road_number_139.0,0.0001279670961510103
first_road_number_683.0,0.00012794216483955192
first_road_number_570.0,0.00012782216059960098
first_road_number_6053.0,0.00012754199402288584
first_road_number_327.0,0.000127381837475158
first_road_number_5230.0,0.0001268248710626992
first_road_number_2110.0,0.00012531855675948785
first_road_number_5035.0,0.00012522568293088098
first_road_number_3059.0,0.00012464628228498647
first_road_number_354.0,0.00012409653664499263
first_road_number_3036.0,0.00012403867514491253
vehicle_type_Minibus (8 - 16 passenger seats),0.0001238625208174219
first_road_number_408.0,0.0001235642967012684
first_road_number_1290.0,0.00012339139394529022
first_road_number_286.0,0.00012334850337568384
first_road_number_4211.0,0.00012330331475648046
first_road_number_6041.0,0.0001228993833919495
first_road_number_4039.0,0.00012276224393828074
first_road_number_3274.0,0.00012251989574550655
first_road_number_594.0,0.00012158622636892309
first_road_number_577.0,0.00012154395575650165
first_road_number_4456.0,0.0001215274550774097
first_road_number_686.0,0.00012138224201172362
first_road_number_515.0,0.0001212920087405321
first_road_number_660.0,0.00012127663347234702
first_road_number_360.0,0.00012094701428100225
first_road_number_1105.0,0.00011975970926105934
first_road_number_287.0,0.00011967613670856218
first_road_number_523.0,0.00011890653965204381
first_road_number_1036.0,0.00011889756139808484
first_road_number_224.0,0.00011879558001533233
first_road_number_3315.0,0.00011870847131546513
first_road_number_110.0,0.00011703468291721315
first_road_number_183.0,0.00011652140631141276
first_road_number_4113.0,0.00011645158342550775
first_road_number_186.0,0.00011637531435233104
first_road_number_591.0,0.00011602973639496597
first_road_number_400.0,0.00011591092302338015
first_road_number_422.0,0.0001158549322552746
first_road_number_441.0,0.00011570323101509846
first_road_number_578.0,0.00011479259378059206
hit_object_in_carriageway_Previous accident,0.00011470499666227606
first_road_number_639.0,0.0001146619882439406
first_road_number_107.0,0.00011454953701080458
first_road_number_617.0,0.000114087706417415
first_road_number_403.0,0.0001138757262036638
first_road_number_1205.0,0.00011377592060412355
first_road_number_213.0,0.00011373731093431233
first_road_number_68.0,0.00011320778439091226
first_road_number_583.0,0.00011283251063710909
first_road_number_6326.0,0.00011274188068025262
first_road_number_6005.0,0.00011260411968726057
first_road_number_402.0,0.00011211305491182249
first_road_number_1112.0,0.00011185902494762237
first_road_number_6008.0,0.00011172745340038415
first_road_number_627.0,0.00011115580048011401
first_road_number_611.0,0.00011111157626747581
first_road_number_3057.0,0.0001099442820356797
first_road_number_386.0,0.00010924152944920084
first_road_number_4421.0,0.00010870949862207152
first_road_number_576.0,0.00010815211521316819
first_road_number_4088.0,0.00010813906487571098
first_road_number_228.0,0.00010787527347779929
first_road_number_641.0,0.00010785863367395792
first_road_number_5127.0,0.00010716933213275603
first_road_number_201.0,0.00010690951206871058
first_road_number_6119.0,0.000106684388345697
first_road_number_509.0,0.00010608868384229081
first_road_number_1120.0,0.00010571735358532206
first_road_number_5061.0,0.00010542883764510067
first_road_number_3217.0,0.00010495270673332406
first_road_number_166.0,0.00010439379273326136
first_road_number_69.0,0.00010433379478684783
first_road_number_207.0,0.00010428313529071016
first_road_number_335.0,0.00010392547865874578
hit_object_in_carriageway_Bridge (side),0.00010364797388993783
